Metric ID,Group,Metrics Category,Type,Metric,Definition / Description,Formula,Numerator,Denominator,Reporting,Answers,Indicators,Benchmark,Tools,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Logic,Tags,Notes
4.45,Talent Acquisition,Intelligence,Rate,Pass-through Ratio: Applicants --> Hire,Average number of applicants for each internal and external hire.,app_to_hire_ratio = count(applications) / count(offers_accepted),#Applicants ,#Offers.Accepted,Workforce Planning | TA Reviews | Exec Review | Pipeline Dashboard,How many total applications do we need to generate to make 1 hire?,"Indicates screening resources needed, informs sourcing needs, sets expectations for time-to-fill",,Screening A[i]gent | Pipeline Health A[i]gent | ,One in a series that provides an indication of the proportion of candidates admitted through various gates in the recruiting process.,ATS — Candidate Pipeline,,,app_to_hire_ratio,Rolling 12 months,Denominator = candidates entering stage in cohort week. Numerator = those who later reach Hire. Exclude duplicates/merged profiles.,"CNVR, recruiting, pipeline, hiring",
5.05,Talent Management,Intelligence,Rate,Transfer Rate,Percentage of employees that were transferred during the reporting period.,(Transfers / Average Headcount) * 100,Transfers,Average Headcount,,"Internal employee movement for purposes of Workforce Planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"Transfer Rate indicates the percentage of the workforce that has experienced a transfer action during the period. For example, a Transfer Rate of 20% means that 20% of employees in the organization have transferred internally within the period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.Mobility",
6.08,Total Rewards,Intelligence,Ratio,Compensation Ratio - Market Comparision (% to Other Orgs),Ratio of employees’ direct compensation to market-comparable direct compensation.,Direct Compensation Expense / Market Comparable Direct Compensation,Direct Compensation Expense,Market Comparable Direct Compensation,,Market Comparison,,,,"Market Compensation Ratio provides the ratio of direct (cash) compensation provided by the employer to that provided by a comparable market group. A result of 80% means that the organization’s compensation offerings are 80% of the offerings of other organizations. These data are sometimes provided only for certain components of direct compensation (e.g., base salary and bonus), and may not be available for all positions within an organization.",HRIS — Employee Snapshot,,,,End-of-Period Snapshot,SUM value; divide by eligible headcount where applicable,"compensation, rewards",
4.38,Talent Acquisition,Intelligence,Rate,New Hire Failure Factor Rate (90-day),Terminations of low-tenure employees as a percentage of total hires during the reporting period. | Share of external hires who exit within 90 days of start.,(Terminations.Short Tenure / External Hires) * 100 | count( terminations_short_tenure ) / count( external_hires ),Terminations.Short Tenure | Terminations within 90 days,External hires,,Measure alignment between the organization’s value proposition and employee preferences to optimize offer design.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring, staffing effectiveness. ","Define 'short tenure' window explicitly (e.g., ≤90 days). As an alternative to viewing termination rates within various tenure levels, New Hire Tenure instead compares ""short tenure"" terminations to the number of external hires made within the period."
4.47,Talent Acquisition,Intelligence,Index,Offer Fit Index,Relative measure of employees' perceptions of offer fit with the organization.,Survey,Survey,Survey,,Measure alignment between the organization’s value proposition and employee preferences to optimize offer design.,,,Listening A[i]gent,"Organizations typically measure offer fit using survey results. Each survey will likely have a different set of questions or methodologies for measuring offer fit. A high level of offer fit equates to a high degree of alignment between the organization’s value proposition (in terms of compensation and benefits, work–life balance, work environment, etc.) and the specific preferences of employees. This level of offer fit impacts employees’ commitment to the firm, engagement on the job, and likelihood of staying with or leaving the firm. Degree of alignment between the organization’s value proposition and the values, or preferences, of employees. In aggregate, the Offer Fit Index describes the level of offer fit across a number of specific job factors. The index is also diagnostic—it can be disaggregated to identify those elements of a firm’s employment value proposition that are more or less aligned with the preferences of employees.",ATS — Candidate Pipeline,Offer fit item(s) , candidate_feedback , offer_fit_score ,Event Date Within Period," Normalize Likert scale to 0–100 |  Composite index 	 Include only accepted offers unless otherwise defined ","CNVR, recruiting, pipeline, hiring, Survey, Recruitment Process, EVP Alignment Employee Satisfaction", Diagnostic of employment value proposition alignment.
1.04,Culture & Engagement,Experience,Index,Employee Engagement Index,Relative measure of employee's engagement in their work.,Survey,Survey,Survey,,Measure discretionary effort and workforce energy to predict productivity and performance outcomes.,,,Listening A[i]gent,"Organizations typically measure employee engagement using survey results. Each survey will likely have a different set of questions or methodologies for measuring employee engagement. The Employee Engagement Index measures employees’ engagement with their jobs or day-to-day work. It is based on survey questions that assess factors such as the effort and enthusiasm they put into their daily activities. It is designed to measure the extent to which employees contribute their discretionary effort to the firm. Employee engagement is thus distinct from employee commitment, which measures attachment to the firm and views of the firm as a great place to work. Measurement of employee engagement for purposes of predicting productivity and/or as a tool for analytically deriving the reasons for low engagement so they can be addressed before they lead to low productivity.",Survey,Engagement scale item(s) , survey_responses , engagement_index , Last 4 completed quarters ," Normalize validated engagement scale to 0–100  Composite index 	 Minimum response threshold ","engagement, sentiment, Survey, Engagement, Productivity Employee Satisfaction", Predictive of productivity and performance outcomes.
5.14,Talent Management,Operations,Rate,Self Review Rate (%of Workforce),Percentage of employees whose performance is appraised using a self-review.,(End of Period Headcount.Self Reviews / End of Period Headcount.Eligible for Self Review) * 100,End of Period Headcount Self Reviews,End of Period Headcount.Eligible for Self Review,,Measurement of compliance to the Performance Appraisal process.,,,," For example, a result of 70% means that 70% of the employees eligible to complete a self review actually completed one.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.18,Talent Management,Operations,Rate,Performance Appraisal Particiation Rate,Percentage of eligible employees who have received a performance appraisal during the reporting period.,(End of Period Headcount.Appraisal Eligible.Performance Appraisal / End of Period Headcount.Appraisal Eligible) * 100,End of Period Headcount.Appraisal Eligible.Performance Appraisal,End of Period Headcount.Appraisal Eligible.,,Measurement of compliance to the Performance Appraisal process.,,,,"For example, a result of 80% means that 80% of eligible employees actually received an appraisal during the period.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.19,Talent Management,Operations,Rate,Peer Review Rate,Employees whose performance is appraised in part through peer reviews as a percentage of eligible employees.,(End of Period Headcount.Peer Review / End of Period Headcount. Eligible for Peer Review) * 100,End of Period Headcount. Peer Review,End of Period Headcount. Eligible for Peer Review,,Measurement of compliance with the performance appraisal process.,,,,"For example, a result of 70% means that 70% of the employees eligible to receive a peer review actually received one. Results will tend to vary based on whether the practice is considered to be a mandatory component of the performance review process or a voluntary practice that may be instituted by individual managers. High results for this measure indicate that there are high compliance or adoption rates for the peer review practice.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.11,Talent Management,Intelligence,Rate,Cross-Function Mobility Rate,Movements between functions as a percentage of total internal movements.,(Internal Movements.Function Change / Internal Movements) * 100,Internal Movements Function Change,Internal Movements,,Measurement of developmental programs that focus on building cross- functional opportunities for leadership development or skill broadening.,,,,"Cross-Function Mobility indicates the percentage of internal movements that involve employees moving from one functional area to another, such as from Finance to Marketing or from Sales to Operations. Internal movements are those resulting from an employee's internal job changes within the organizations, regardless of function, whether through transfer, promotion, or demotion. A Cross-Function Mobility result of 40% means that 40% of internal movements for the period involved moves from one function to another, while the other 60% were movements within a function.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,leadership development or skill broadening.Mobility,
5.08,Talent Management,Intelligence,Rate,Lateral Mobility Rate,"Transfers as a percentage of all internal movements, including transfers, promotions, and demotions.",(Transfers / Internal Movements) * 100,Transfers (Lateral),"Internal Movements (lateral, promotuons, demotions)",,"Measurement of lateral movement across the organization for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"A Lateral Mobility result of 40% means that 40% of internal movements for the period were transfers, while the other 60% were promotions or demotions.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.Mobility",
5.21,Talent Management,Intelligence,Rate,Employee Upgrade Rate,Percentage of performance appraisal participants receiving a higher rate than the previous rating.,(Performance Appraisal Participants.Rating Increase / Performance Appraisal Participants) * 100,Performance Appraisal Participants.Rating Increase,Performance Appraisal Participants,,Measurement of Performance Appraisal Upgrades for purposes determining the effectiveness of the performance appraisal system and/or employee development efforts.,,,,"For example, a result of 15% means that 15% of employees received a higher rating in the current period than in their previous appraisal. When performance is accurately assessed and ratings are accurately applied, this measure can offer an indication of whether employees are improving their performance and where pockets of improved performance can be found. Management may also find it useful to monitor rating increases because of their effects on bonus or other compensation plans, or any other programs linked to performance ratings.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.20,Talent Management,Intelligence,Rate,High Performer Growth Rate,Percentage of performance appraisal participants whose rating improved to a “high” rating from a previous rating that was less than “high.”,(Performance Appraisal Participants.Rating High / Performance Appraisal Participants.Previous Rating Non-High) * 100,Performance Appraisal Participants.Rating High,Performance Appraisal Participants.Previous Rating Non-High,,"Measurement of Performance Appraisal Upgrades for purposes determining the effectiveness of the performance appraisal system, identifying managers able to effect high levels of employee performance improvement, and/or successful employee development efforts.",,,,,HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.06,Talent Management,Intelligence,Ratio,Tenure - Promotion Speed Ratio (Average pre-promo),"Average position tenure, in years, prior to promotion.",Total Position Tenure Prior to Promotion / Promotions,Total Position Tenure Prior to Promotion,Promotions,,"Measurement of promotions for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"Promotion Speed Ratio indicates, for employees that were promoted during the period, their average tenure in position prior to promotion. For example, an employee promoted two years after being hired into a position has a Promotion Speed Ratio equal to two years.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.Mobility",
5.07,Talent Management,Intelligence,Rate,Promotion Rate (%of Workforce),Percentage of employees that were promoted during the reporting period.,Promotions / Average Headcount * 100,Promotions,Average Headcount,,"Measurement of promotions for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"For example, a Promotion Rate of 5% means 5% of employees in the organizations have received promotions within the reporting period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, or attrition reduction.Mobility",
4.33,Talent Acquisition,Operations,Value,Recruitment Cost per Hire,"Recruitment expense per hire, including internal and external hires. | Total recruitment expense divided by number of hires.",Recruitment Expense / Hires | sum( recruiting_expense ) / count( hires ),Total recruiting expense,Hires,,Measurement of recruiting efficiency. | ,,,,"advertising costs, agency fees, travel reimbursement of candidates or interviewers, screening tests, and relocation allowances. Recruitment costs are also likely to include the overhead costs of running a recruiting function, such as the salaries of recruiters, the costs of maintaining a resume bank, the costs of sending communications or printing collateral, etc. In addition, recruitment expenses can include indirect productivity costs of hiring managers and other called upon to interview candidates, though such costs are difficult to quantify.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring","Break out by channel (ads, agency, tools, events)."
5.09,Talent Management,Intelligence,Rate,Internal Placement Rate (% of Hires),Internal hires as a percentage of total hires during the reporting period.,(Internal Hires / (External Hires + Internal Hires))*100,Internal Hires,Total Hires (External Hires + Internal),,"Measurement of strategies involving the mix of internal versus external hires for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,An internal Placement Rate of 60% means that 60% of the organization's appointments to vacant positions were from internal talent rather than from external hires.,HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"Talent, Hiring, Cost, Conversion, Attrition, Mobility, Workforce Planning",
5.10,Talent Management,Intelligence,Rate,Internal Hire Rate (%of Workforce),"Percentage of employees that moved internally during the reporting period, including transfers, promotions, or demotions.",(Internal Movements / Average Headcount) * 100,Internal Movements,Average Headcount,,"Measurement of the movement of internal talent for purposes of workforce planning that may include talent development, quality of hire, cost reduction, or time to fill.",,,,"Internal hire rate indicates the percentage of the workforce that has moved internally during the period. Internal movements are those resulting from employees' internal job changes within the organization, whether through actions of transfer, promotion, or demotion. For example, an internal hire rate of 40% means that 40% of employees in the organization have experienced one of these movements within the period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"Talent, Hiring, Cost, Conversion, Attrition, Mobility, Workforce Planning",
5.22,Talent Management,Intelligence,Rate,Employee Turnaround Rate,Percentage of employees receiving a poor performance rating at their preceding review whose rating increased during the period.,(Performance Appraisal Participants.Previous Rating Low.Rating Increase / Performance Appraisal Participants.Previous Rating Low) * 100,Performance Appraisal Participants.Previous Rating Low.Rating Increase,Performance Appraisal Participants.Previous Rating Low,,Measurement of the organizations ability to improve poor performance using the performance appraisal system and/or specific employee development initiatives.,,,,"For example, a result of 20% indicates that 20% of employees who were low-rated at their previous review received a non-low rating at their most recent review. Assuming performance ratings are judged and applied accurately, this measure provides an indication of the improvement an organization is able to effect in low performers. Turnarounds may be attributed to changes employees make in their own performance, changes driven by managerial focus and coaching, changes driven by training, or a combination of these.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.15,Talent Management,Operations,Rate,Performance Contingent Pay Prevalence Rate (%of Workforce),Percentage of employees whose total compensation is at least in part dependent on individual performance.,(End of Period Headcount.Performance Contingent Compensation / End of Period Headcount) * 100,End of Period Headcount.Performance Contingent Compensation,End of Period Headcount.,,Measurement of the penetration of performance-based pay.,,,,Performance contingent pay can be wage or bonus compensation that is dependent on individual performance.,HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
5.17,Talent Management,Operations,Distribution,Performance Rating Distribution,Distribution of performance appraisal occurrences by appraisal rating.,(Performance Appraisal Occurrences.[Rating] / Performance Appraisal Occurrences) * 100,Performance Appraisal Occurrences.[Rating],Performance Appraisal Occurrences.,,Measurement of the Performance Rating Distribution. Useful for comparing one employee segment to another.,,,,"Performance Rating Distribution provides the percentages of performance appraisal occurrences that result in various ratings. Graphically, the data are presented as a percentage of Performance Appraisal Participants, i.e., a stacked bar graph.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
4.30,Talent Acquisition,Intelligence,Rate,Referral Rate (%Submitted),Referrals submitted divided by average headcount in period.,(Referrals / Average Headcount) * 100 | count( referrals ) / avg( headcount ),Referrals submitted,Average Headcount,,Measurement of the Referral Program.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",Segment by department and location.
